State,"Totalmurders1",Total Firearms,Handguns,Rifles,Shotguns,Firearms,Knives,"Otherweapons","Hands, fists,feet, etc.2",Hide,Open carry index,Concealed carry index,Assault weapons ban?,Saturday Night Special ban?,Large capacity ammunition magazines ban?,"50 caliber rifles banned or regulated? (1=banned, 0.5=regulated, 0=no)",Local gun ban in place?,"Waiting period on firearms purchases? (1=all firearms, 0.5=some firearms, 0=no)","Restrictions on multiple purchases or sales of firearms? (1=yes, 0.5=locally, 0=no)",Background checks required at private sales or gun shows?
Alaska,29,16,5,0,3,8,6,5,2,,9,9,0,0,0,0,0,0,0,0
Arizona,339,222,165,14,9,34,49,59,9,,10,10,0,0,0,0,0,0,0,0
Arkansas,153,110,52,4,6,48,22,17,4,,0.5,6.5,0,0,0,0,0,0,0,0
California,"1,790",1220,866,45,50,259,261,208,101,,0.3,0.8,1,1,1,1,0,1,1,1
Colorado,147,73,39,3,5,26,22,31,21,,7.5,7.2,0,0,0,0,0,0,0,1
Connecticut,128,94,54,1,1,38,18,10,6,,1.4,2.3,1,0,0,0.5,0,0.5,0,1
Delaware,41,28,18,0,3,7,8,2,3,,6.6,1.6,0,0,0,0,0,0,0,0
District of Columbia,108,77,37,0,1,39,21,9,1,,0.5,7.2,0,0,0,0,0,0.5,0,0
Georgia,522,370,326,16,16,12,61,83,8,,4.7,6.5,0,0,0,0,0,0,0,0
Hawaii,7,1,0,1,0,0,2,1,3,,0.4,0,1,1,1,0,0,1,0,1
Idaho,32,17,15,1,0,1,4,8,3,,5.3,8,0,0,0,0,0,0,0,0
Illinois,452,377,364,1,5,7,29,29,17,,0,0,0.5,1,0.5,0,0,1,0,1
Indiana,284,183,115,9,12,47,36,43,22,,4.5,7.2,0,0,0,0,0,0,0,0
Iowa,44,19,7,0,2,10,10,10,5,,4.5,7.2,0,0,0,0,0,0.5,0,1
Kansas,110,73,31,3,5,34,11,16,10,,6.6,6.5,0,0,0,0,0,0,0,0
Kentucky,150,100,77,6,5,12,13,24,13,,8.8,6.5,0,0,0,0,0,0,0,0
Louisiana,485,402,372,10,8,12,28,29,26,,9,6.5,0,0,0,0,0,0,0,0
Maine,25,12,3,1,1,7,4,7,2,,8.6,7.2,0,0,0,0,0,0,0,0
Maryland,398,272,262,2,5,3,75,34,17,,0,1.4,1,1,1,0.5,0,0.5,1,1
Massachusetts,183,122,52,0,1,69,30,22,9,,0.5,0.9,1,1,1,0,0,0,0,1
Michigan,613,450,267,29,15,139,43,89,31,,8.6,6.5,0,0,0,0,0,0,0,1
Minnesota,70,43,36,3,3,1,12,12,3,,4.5,7.2,0,1,0,0,0,0.5,0,0
Mississippi,187,138,121,6,4,7,26,14,9,,5,6.5,0,0,0,0,0,0,0,0
Missouri,364,276,158,13,9,96,28,42,18,,4.4,6.5,0,0,0,0,0,0,0,0
Montana,18,7,2,3,1,1,4,5,2,,9,6.5,0,0,0,0,0,0,0,0
Nebraska,65,42,35,2,1,4,7,9,7,,6.6,4.9,0,0,0,0,0,0,0,1
Nevada,129,75,46,2,1,26,20,25,9,,9,7.2,0,0,0,0,0,0,0,0
New Hampshire,16,6,1,2,1,2,4,6,0,,9.5,8,0,0,0,0,0,0,0,0
New Jersey,379,269,238,1,5,25,51,41,18,,0.5,0.9,1,0,1,0,0,0.5,0,1
New Mexico,121,60,45,2,2,11,21,32,8,,9,6.5,0,0,0,0,0,0,0,0
New York,774,445,394,5,16,30,160,143,26,,0.3,1.2,1,1,1,0,0,0,0.5,1
North Carolina,489,335,235,26,19,55,60,57,37,,8.8,6.5,0,0,0,0,0,0,0,1
North Dakota,12,6,3,0,0,3,4,0,2,,4.5,7.2,0,0,0,0,0,0,0,0
Ohio,488,344,187,8,13,136,44,80,20,,8.6,6.5,0,0,0,0,0,0,0,0
Oklahoma,204,131,99,8,9,15,26,21,26,,0.5,6.5,0,0,0,0,0,0,0,0
Oregon,77,40,13,1,2,24,22,10,5,,4.4,7.2,0,0,0,0,0,0,0,1
Pennsylvania,636,470,379,8,19,64,73,66,27,,6.4,7.2,0,0,0,0,0,0,0,1
Rhode Island,14,5,1,0,0,4,5,4,0,,0.9,1.8,0,0,0,0,0,1,0,1
South Carolina,319,223,126,10,12,75,38,40,18,,0.5,7.2,0,1,0,0,0,0,0,0
South Dakota,15,5,3,1,0,1,4,3,3,,8.6,6.5,0,0,0,0,0,0.5,0,0
Tennessee,373,244,172,7,13,52,51,62,16,,4.5,7.2,0,0,0,0,0,0,0,0
Texas,"1,089",699,497,37,48,117,175,134,81,,0.9,7.2,0,0,0,0,0,0,0,0
Utah,51,26,15,4,1,6,5,9,11,,4.5,7.2,0,0,0,0,0,0,0,0
Vermont,8,4,2,0,0,2,2,2,0,,9,9,0,0,0,0,0,0,0,0
Virginia,303,208,110,10,15,73,33,41,21,,8.8,7.2,0,0,0,0,0,0,1,0
Washington,161,79,58,1,3,17,29,36,17,,8.6,7.2,0,0,0,0,0,0,0,0
West Virginia,74,43,23,10,3,7,11,13,7,,6.6,6.5,0,0,0,0,0,0,0,0
Wisconsin,135,80,60,7,3,10,21,13,21,,8.1,6.5,0,0,0,0,0,0.5,0,0
Wyoming,15,11,7,0,0,4,0,1,3,,9,9,0,0,0,0,0,0,0,0
Virgin Islands,38,31,27,0,0,4,5,2,0,,,,,,,,,,,
TOTAL,12664,8583,6220,323,356,1684,1694,1659,728,Yes,,,,,,,,,,
,, ,,,,, ,, ,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
,, ,, ,,,,,,,,,,,,,,,,
