Type,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Georgia,Hawaii,Idaho,Illinois3,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Virgin Islands,weaponTotalParent,Parent,Hide
Totalmurders1,29,339,153,"1,790",147,128,41,108,522,7,32,452,284,44,110,150,485,25,398,183,613,70,187,364,18,65,129,16,379,121,774,489,12,488,204,77,636,14,319,15,373,"1,089",51,8,303,161,74,135,15,38,,,Yes
totalFirearms,16,222,110,"1,220",73,94,28,77,370,1,17,377,183,19,73,100,402,12,272,122,450,43,138,276,7,42,75,6,269,60,445,335,6,344,131,40,470,5,223,5,244,699,26,4,208,79,43,80,11,31,8583,,
Handguns,5,165,52,866,39,54,18,37,326,0,15,364,115,7,31,77,372,3,262,52,267,36,121,158,2,35,46,1,238,45,394,235,3,187,99,13,379,1,126,3,172,497,15,2,110,58,23,60,7,27,6193,totalFirearms,
Rifles,0,14,4,45,3,1,0,0,16,1,1,1,9,0,3,6,10,1,2,0,29,3,6,13,3,2,2,2,1,2,5,26,0,8,8,1,8,0,10,1,7,37,4,0,10,1,10,7,0,0,323,totalFirearms,
Shotguns,3,9,6,50,5,1,3,1,16,0,0,5,12,2,5,5,8,1,5,1,15,3,4,9,1,1,1,1,5,2,16,19,0,13,9,2,19,0,12,0,13,48,1,0,15,3,3,3,0,0,356,totalFirearms,
unknownFirearms,8,34,48,259,26,38,7,39,12,0,1,7,47,10,34,12,12,7,3,69,139,1,7,96,1,4,26,2,25,11,30,55,3,136,15,24,64,4,75,1,52,117,6,2,73,17,7,10,4,4,1680,totalFirearms,
Knives,6,49,22,261,22,18,8,21,61,2,4,29,36,10,11,13,28,4,75,30,43,12,26,28,4,7,20,4,51,21,160,60,4,44,26,22,73,5,38,4,51,175,5,2,33,29,11,21,0,5,1694,,
otherWeapons,5,59,17,208,31,10,2,9,83,1,8,29,43,10,16,24,29,7,34,22,89,12,14,42,5,9,25,6,41,32,143,57,0,80,21,10,66,4,40,3,62,134,9,2,41,36,13,13,1,2,1659,,
handfistfeet,2,9,4,101,21,6,3,1,8,3,3,17,22,5,10,13,26,2,17,9,31,3,9,18,2,7,9,0,18,8,26,37,2,20,26,5,27,0,18,3,16,81,11,0,21,17,7,21,3,0,728,,
stateTotal,45,561,263,3010,220,222,69,185,892,8,49,829,467,63,183,250,887,37,670,305,1063,113,325,640,25,107,204,22,648,181,1219,824,18,832,335,117,1106,19,542,20,617,1788,77,12,511,240,117,215,26,69,,,Yes
