State,Year,Open carry index,Concealed carry index,"Assault weapons ban? (1=yes, 0.5=locally, 0=no)","""Saturday Night Special"" ban? (1=yes, 0=no)","Large capacity ammunition magazines ban? (1=yes, 0.5=locally, 0=no)","50 caliber rifles banned or regulated? (1=banned, 0.5=regulated, 0=no)",Local gun ban in place?,"Waiting period on firearms purchases? (1=all firearms, 0.5=some firearms, 0=no)","Restrictions on multiple purchases or sales of firearms? (1=yes, 0.5=locally, 0=no)","Background checks required at private sales or gun shows? (1=yes, 0.5=locally, 0=no)",Hide
State,Year,Boci,Bcci,Basslt,bsat,Bmags,Brifle,Bgunban,Bwait,Bmult,Bpriv,Yes
Alabama,2000,8.55,1.62,0,0,0,0,0,0,0,0,
Alaska,2000,8.55,6.48,0,0,0,0,0,0,0,0,
Arizona,2000,6.58125,7.2,0,0,0,0,0,0,0,0,
Arkansas,2000,0.45,6.48,0,0,0,0,0,0,0,0,
California,2000,0.45,1.62,1,1,1,0,0,1,1,1,
Colorado,2000,7.5,0.9,0,0,0,0,0,0,0,1,
Connecticut,2000,2.025,3.375,1,0,0,0,0,0.5,0,1,
Delaware,2000,8.775,1.62,0,0,0,0,0,0,0,0,
Florida,2000,0.45,7.2,0,0,0,0,0,0.5,0,0,
Georgia,2000,4.725,6.48,0,0,0,0,0,0,0,0,
Hawaii,2000,0.405,0.81,1,1,1,0,0,1,0,1,
Idaho,2000,8.775,6.48,0,0,0,0,0,0,0,0,
Illinois,2000,0,0,0.5,1,0,0,1,1,0,1,
Indiana,2000,4.5,6.48,0,0,0,0,0,0,0,0,
Iowa,2000,0.9,1.8,0,0,0,0,0,0.5,0,1,
Kansas,2000,6.58125,0,0,0,0,0,0,0,0,0,
Kentucky,2000,8.775,6.48,0,0,0,0,0,0,0,0,
Louisiana,2000,9,6.48,0,0,0,0,0,0,0,0,
Maine,2000,8.55,7.2,0,0,0,0,0,0,0,0,
Maryland,2000,0.81,1.8,1,1,0,0,0,0.5,1,1,
Massachusetts,2000,0.45,0.9,1,1,0,0,0,0,0,1,
Michigan,2000,8.55,4.05,0,0,0,0,0,0,0,1,
Minnesota,2000,4.5,6.48,0,1,0,0,0,0.5,0,0,
Mississippi,2000,9,6.48,0,0,0,0,0,0,0,0,
Missouri,2000,4.5,0,0,0,0,0,0,0,0,0,
Montana,2000,8.775,6.48,0,0,0,0,0,0,0,0,
Nebraska,2000,6.58125,0,0,0,0,0,0,0,0,1,
Nevada,2000,8.775,7.2,0,0,0,0,0,0,0,0,
New Hampshire,2000,9.5,8,0,0,0,0,0,0,0,0,
New Jersey,2000,0.45,0.9,1,0,1,0,0,0.5,0,1,
New Mexico,2000,9,0,0,0,0,0,0,0,0,0,
New York,2000,0.675,1.215,1,1,1,0,0,0,0,1,
North Carolina,2000,8.775,6.48,0,0,0,0,0,0,0,1,
